"Environment","Genotype","Block","Season","Grain_yield"
"Goiânia","29","2","1","12.83"
"Goiânia","37","2","1","12.54"
"Goiânia","45","2","1","11.65"
"Goiânia","53","2","1","6.69"
"Goiânia","61","2","1","7.83"
"Goiânia","6","2","1","11.36"
"Goiânia","14","2","1","7.29"
"Goiânia","22","2","1","10.98"
"Goiânia","30","2","1","10.35"
"Goiânia","38","2","1","8.27"
"Goiânia","46","2","1","8.98"
"Goiânia","54","2","1","12.28"
"Goiânia","62","2","1","11.27"
"Goiânia","7","2","1","9.25"
"Goiânia","15","2","1","9.83"
"Goiânia","23","2","1","9.45"
"Goiânia","31","2","1","8.59"
"Goiânia","39","2","1","11.02"
"Goiânia","47","2","1","11.17"
"Goiânia","55","2","1","7.08"
"Goiânia","63","2","1","7.08"
"Goiânia","8","2","1","7.3"
"Goiânia","16","2","1","11.54"
"Goiânia","24","2","1","11.26"
"Goiânia","32","2","1","10.64"
"Goiânia","40","2","1","11.17"
"Goiânia","48","2","1","11.16"
"Goiânia","56","2","1","7.95"
"Goiânia","64","2","1","11.21"
"Londrina","1","1","2","6.15"
"Londrina","2","1","2","5.19"
"Londrina","3","1","2","6.06"
"Londrina","4","1","2","7.64"
"Londrina","5","1","2","3.42"
"Londrina","6","1","2","7.37"
"Londrina","7","1","2","5.13"
"Londrina","8","1","2","5.39"
"Londrina","9","1","2","6.48"
"Londrina","10","1","2","6.11"
"Londrina","11","1","2","6.81"
"Londrina","12","1","2","6.15"
"Londrina","13","1","2","6.64"
"Londrina","14","1","2","4.44"
"Londrina","15","1","2","6.24"
"Londrina","16","1","2","6.49"
"Londrina","17","1","2","5.51"
"Londrina","18","1","2","6.16"
"Londrina","19","1","2","5.32"
"Londrina","20","1","2","5.79"
"Londrina","21","1","2","5.1"
"Londrina","22","1","2","7.9"
"Londrina","23","1","2","6.89"
"Londrina","24","1","2","7.72"
"Londrina","25","1","2","8.81"
"Londrina","26","1","2","6.07"
"Londrina","27","1","2","7.52"
"Londrina","28","1","2","7.21"
"Londrina","29","1","2","4.79"
"Londrina","30","1","2","6.1"
"Londrina","31","1","2","6.58"
"Londrina","32","1","2","6.53"
"Londrina","33","1","2","6.22"
"Londrina","34","1","2","7.13"
"Londrina","35","1","2","7.48"
"Londrina","36","1","2","6.8"
"Londrina","37","1","2","5.83"
"Londrina","38","1","2","7.56"
"Londrina","39","1","2","6.35"
"Londrina","40","1","2","6.09"
"Londrina","41","1","2","6.82"
"Londrina","42","1","2","5.49"
"Londrina","43","1","2","6.04"
"Londrina","44","1","2","6.44"
"Londrina","45","1","2","7.19"
"Londrina","46","1","2","7.73"
"Londrina","47","1","2","8.39"
"Londrina","48","1","2","7.61"
"Londrina","49","1","2","6.3"
"Londrina","50","1","2","7.45"
"Londrina","51","1","2","8.59"
"Londrina","52","1","2","8.03"
"Londrina","53","1","2","4.44"
"Londrina","54","1","2","6.98"
"Londrina","55","1","2","6.28"
"Londrina","56","1","2","6.02"
"Londrina","57","1","2","5.76"
"Londrina","58","1","2","6.36"
"Londrina","59","1","2","7.23"
"Londrina","60","1","2","4.94"
"Londrina","61","1","2","5.07"
"Londrina","62","1","2","5.49"
"Londrina","63","1","2","5.63"
"Londrina","64","1","2","6.61"
"Londrina","1","2","2","7.62"
"Londrina","9","2","2","6.28"
"Londrina","17","2","2","3.98"
"Londrina","25","2","2","6.53"
"Londrina","33","2","2","5.42"
"Londrina","41","2","2","4.45"
"Londrina","49","2","2","8.69"
"Londrina","57","2","2","6.42"
"Londrina","2","2","2","5.2"
"Londrina","10","2","2","6.66"
"Londrina","18","2","2","5.28"
"Londrina","26","2","2","6.54"
"Londrina","34","2","2","7.00"
"Londrina","42","2","2","5.99"
"Londrina","50","2","2","3.53"
"Londrina","58","2","2","5.31"
"Londrina","3","2","2","7.94"
"Londrina","11","2","2","7.49"
"Londrina","19","2","2","6.8"
"Londrina","27","2","2","7.97"
"Londrina","35","2","2","8.65"
"Londrina","43","2","2","5.69"
"Londrina","51","2","2","8.59"
"Londrina","59","2","2","6.24"
"Londrina","4","2","2","6.56"
"Londrina","12","2","2","7.75"
"Londrina","20","2","2","8.24"
"Londrina","28","2","2","8.97"
"Londrina","36","2","2","9.45"
"Londrina","44","2","2","6.23"
"Londrina","52","2","2","6.08"
"Londrina","60","2","2","5.73"
"Londrina","5","2","2","5.83"
"Londrina","13","2","2","6.28"
"Londrina","21","2","2","6.84"
"Londrina","29","2","2","6.88"
"Londrina","37","2","2","7.87"
"Londrina","45","2","2","7.86"
"Londrina","53","2","2","6.7"
"Londrina","61","2","2","6.54"
"Londrina","6","2","2","7.77"
"Londrina","14","2","2","5.79"
"Londrina","22","2","2","7.56"
"Londrina","30","2","2","6.33"
"Londrina","38","2","2","5.29"
"Londrina","46","2","2","7.21"
"Londrina","54","2","2","7.46"
"Londrina","62","2","2","6.64"
"Londrina","7","2","2","5.82"
"Londrina","15","2","2","7.11"
"Londrina","23","2","2","5.57"
"Londrina","31","2","2","5.41"
"Londrina","39","2","2","8.36"
"Londrina","47","2","2","6.06"
"Londrina","55","2","2","7.58"
"Londrina","63","2","2","6.22"
"Londrina","8","2","2","5.83"
"Londrina","16","2","2","8.00"
"Londrina","24","2","2","9.26"
"Londrina","32","2","2","7.22"
"Londrina","40","2","2","6.86"
"Londrina","48","2","2","5.52"
"Londrina","56","2","2","5.97"
"Londrina","64","2","2","8.21"
"Dourados","1","1","1","3.84"
"Dourados","2","1","1","3.77"
"Dourados","3","1","1","3.77"
"Dourados","4","1","1","4.51"
"Dourados","5","1","1","2.94"
"Dourados","6","1","1","5.12"
"Dourados","7","1","1","5.09"
"Dourados","8","1","1","3.67"
"Dourados","9","1","1","4.14"
"Dourados","10","1","1","3.19"
"Dourados","11","1","1","3.75"
"Dourados","12","1","1","2.86"
"Dourados","13","1","1","3.91"
"Dourados","14","1","1","3.86"
"Dourados","15","1","1","4.48"
"Dourados","16","1","1","6.02"
"Dourados","17","1","1","2.68"
"Dourados","18","1","1","4.36"
"Dourados","19","1","1","3.43"
"Dourados","20","1","1","2.78"
"Dourados","21","1","1","4.47"
"Dourados","22","1","1","5.35"
"Dourados","23","1","1","4.54"
"Dourados","24","1","1","5.85"
"Dourados","25","1","1","4.43"
"Dourados","26","1","1","4.02"
"Dourados","27","1","1","4.65"
"Dourados","28","1","1","4.83"
"Dourados","29","1","1","5.61"
"Dourados","30","1","1","5.68"
"Dourados","31","1","1","3.87"
"Dourados","32","1","1","6.03"
"Dourados","33","1","1","3.53"
"Dourados","34","1","1","2.99"
"Dourados","35","1","1","5.35"
"Dourados","36","1","1","3.94"
"Dourados","37","1","1","3.17"
"Dourados","38","1","1","3.33"
"Dourados","39","1","1","4.28"
"Dourados","40","1","1","6.12"
"Dourados","41","1","1","5.3"
"Dourados","42","1","1","4.79"
"Dourados","43","1","1","3.46"
"Dourados","44","1","1","4.44"
"Dourados","45","1","1","3.09"
"Dourados","46","1","1","3.45"
"Dourados","47","1","1","3.94"
"Dourados","48","1","1","4.93"
"Dourados","49","1","1","3.87"
"Dourados","50","1","1","3.94"
"Dourados","51","1","1","5.91"
"Dourados","52","1","1","2.9"
"Dourados","53","1","1","4.38"
"Dourados","54","1","1","4.73"
"Dourados","55","1","1","4.11"
"Dourados","56","1","1","3.88"
"Dourados","57","1","1","5.12"
"Dourados","58","1","1","3.96"
"Dourados","59","1","1","5.94"
"Dourados","60","1","1","3.76"
"Dourados","61","1","1","3.09"
"Dourados","62","1","1","2.72"
"Dourados","63","1","1","4.63"
"Dourados","64","1","1","3.32"
"Dourados","1","2","1","5.62"
"Dourados","9","2","1","3.19"
"Dourados","17","2","1","3.27"
"Dourados","25","2","1","4.04"
"Dourados","33","2","1","4.33"
"Dourados","41","2","1","3.53"
"Dourados","49","2","1","5.02"
"Dourados","57","2","1","5.17"
"Dourados","2","2","1","3.44"
"Dourados","10","2","1","4.69"
"Dourados","18","2","1","2.73"
"Dourados","26","2","1","3.89"
"Dourados","34","2","1","4.06"
"Dourados","42","2","1","4.24"
"Dourados","50","2","1","6.65"
"Dourados","58","2","1","5.12"
"Dourados","3","2","1","5.73"
"Dourados","11","2","1","3.17"
"Dourados","19","2","1","4.39"
"Dourados","27","2","1","5.41"
"Dourados","35","2","1","7.65"
"Dourados","43","2","1","3.42"
"Dourados","51","2","1","6.93"
"Dourados","59","2","1","3.11"
"Dourados","4","2","1","3.89"
"Dourados","12","2","1","3.66"
"Dourados","20","2","1","3.64"
"Dourados","28","2","1","4.44"
"Dourados","36","2","1","4.42"
"Dourados","44","2","1","5.23"
"Dourados","52","2","1","6.89"
"Dourados","60","2","1","6.39"
"Dourados","5","2","1","6.23"
"Dourados","13","2","1","8.03"
"Dourados","21","2","1","4.61"
"Dourados","29","2","1","3.81"
"Dourados","37","2","1","4.39"
"Dourados","45","2","1","6.62"
"Dourados","53","2","1","6.06"
"Dourados","61","2","1","4.81"
"Dourados","6","2","1","6.59"
"Dourados","14","2","1","4.04"
"Dourados","22","2","1","6.99"
"Dourados","30","2","1","3.78"
"Dourados","38","2","1","3.67"
"Dourados","46","2","1","2.83"
"Dourados","54","2","1","2.39"
"Dourados","62","2","1","3.84"
"Dourados","7","2","1","3.44"
"Dourados","15","2","1","3.19"
"Dourados","23","2","1","3.47"
"Dourados","31","2","1","3.22"
"Dourados","39","2","1","4.06"
"Dourados","47","2","1","3.61"
"Dourados","55","2","1","4.39"
"Dourados","63","2","1","5.09"
"Dourados","8","2","1","3.54"
"Dourados","16","2","1","6.99"
"Dourados","24","2","1","4.24"
"Dourados","32","2","1","5.39"
"Dourados","40","2","1","4.26"
"Dourados","48","2","1","4.32"
"Dourados","56","2","1","3.93"
"Dourados","64","2","1","5.98"
"S. Rai. das Mangabeiras","1","1","1","9.1"
"S. Rai. das Mangabeiras","2","1","1","8.38"
"S. Rai. das Mangabeiras","3","1","1","7.66"
"S. Rai. das Mangabeiras","4","1","1","9.93"
"S. Rai. das Mangabeiras","5","1","1","7.1"
"S. Rai. das Mangabeiras","6","1","1","8.35"
"S. Rai. das Mangabeiras","7","1","1","7.8"
"S. Rai. das Mangabeiras","8","1","1","6.07"
"S. Rai. das Mangabeiras","9","1","1","7.27"
"S. Rai. das Mangabeiras","10","1","1","8.17"
"S. Rai. das Mangabeiras","11","1","1","5.98"
"S. Rai. das Mangabeiras","12","1","1","7.97"
"S. Rai. das Mangabeiras","13","1","1","8.17"
"S. Rai. das Mangabeiras","14","1","1","7.36"
"S. Rai. das Mangabeiras","15","1","1","7.37"
"S. Rai. das Mangabeiras","16","1","1","9.47"
"S. Rai. das Mangabeiras","17","1","1","10.87"
"S. Rai. das Mangabeiras","18","1","1","8.47"
"S. Rai. das Mangabeiras","19","1","1","8.2"
"S. Rai. das Mangabeiras","20","1","1","9.71"
"S. Rai. das Mangabeiras","21","1","1","8.1"
"S. Rai. das Mangabeiras","22","1","1","11.47"
"S. Rai. das Mangabeiras","23","1","1","6.03"
"S. Rai. das Mangabeiras","24","1","1","9.1"
"S. Rai. das Mangabeiras","25","1","1","9.33"
"S. Rai. das Mangabeiras","26","1","1","9.47"
"S. Rai. das Mangabeiras","27","1","1","10.17"
"S. Rai. das Mangabeiras","28","1","1","9.26"
"S. Rai. das Mangabeiras","29","1","1","8.97"
"S. Rai. das Mangabeiras","30","1","1","8.7"
"S. Rai. das Mangabeiras","31","1","1","7.98"
"S. Rai. das Mangabeiras","32","1","1","9.19"
"S. Rai. das Mangabeiras","33","1","1","8.21"
"S. Rai. das Mangabeiras","34","1","1","6.95"
"S. Rai. das Mangabeiras","35","1","1","9.43"
"S. Rai. das Mangabeiras","36","1","1","7.27"
"S. Rai. das Mangabeiras","37","1","1","6.93"
"S. Rai. das Mangabeiras","38","1","1","7.1"
"S. Rai. das Mangabeiras","39","1","1","8.67"
"S. Rai. das Mangabeiras","40","1","1","8.73"
"S. Rai. das Mangabeiras","41","1","1","7.8"
"S. Rai. das Mangabeiras","42","1","1","7.43"
"S. Rai. das Mangabeiras","43","1","1","6.57"
"S. Rai. das Mangabeiras","44","1","1","7.83"
"S. Rai. das Mangabeiras","45","1","1","7.58"
"S. Rai. das Mangabeiras","46","1","1","8.18"
"S. Rai. das Mangabeiras","47","1","1","8.27"
"S. Rai. das Mangabeiras","48","1","1","8.05"
"S. Rai. das Mangabeiras","49","1","1","7.9"
"S. Rai. das Mangabeiras","50","1","1","8.19"
"S. Rai. das Mangabeiras","51","1","1","8.5"
"S. Rai. das Mangabeiras","52","1","1","8.07"
"S. Rai. das Mangabeiras","53","1","1","8.5"
"S. Rai. das Mangabeiras","54","1","1","8.17"
"S. Rai. das Mangabeiras","55","1","1","7.9"
"S. Rai. das Mangabeiras","56","1","1","8.9"
"S. Rai. das Mangabeiras","57","1","1","7.8"
"S. Rai. das Mangabeiras","58","1","1","7.87"
"S. Rai. das Mangabeiras","59","1","1","9.00"
"S. Rai. das Mangabeiras","60","1","1","7.77"
"S. Rai. das Mangabeiras","61","1","1","7.97"
"S. Rai. das Mangabeiras","62","1","1","7.67"
"S. Rai. das Mangabeiras","63","1","1","7.97"
"S. Rai. das Mangabeiras","64","1","1","10.45"
"S. Rai. das Mangabeiras","1","2","1","11.6"
"S. Rai. das Mangabeiras","9","2","1","6.84"
"S. Rai. das Mangabeiras","17","2","1","10.71"
"S. Rai. das Mangabeiras","25","2","1","7.96"
"S. Rai. das Mangabeiras","33","2","1","7.88"
"S. Rai. das Mangabeiras","41","2","1","8.79"
"S. Rai. das Mangabeiras","49","2","1","8.02"
"S. Rai. das Mangabeiras","57","2","1","8.41"
"S. Rai. das Mangabeiras","2","2","1","8.18"
"S. Rai. das Mangabeiras","10","2","1","7.88"
"S. Rai. das Mangabeiras","18","2","1","9.11"
"S. Rai. das Mangabeiras","26","2","1","8.93"
"S. Rai. das Mangabeiras","34","2","1","8.2"
"S. Rai. das Mangabeiras","42","2","1","9.09"
"S. Rai. das Mangabeiras","50","2","1","8.76"
"S. Rai. das Mangabeiras","58","2","1","7.97"
"S. Rai. das Mangabeiras","3","2","1","8.73"
"S. Rai. das Mangabeiras","11","2","1","9.15"
"S. Rai. das Mangabeiras","19","2","1","8.27"
"S. Rai. das Mangabeiras","27","2","1","9.34"
"S. Rai. das Mangabeiras","35","2","1","9.63"
"S. Rai. das Mangabeiras","43","2","1","7.6"
"S. Rai. das Mangabeiras","51","2","1","7.02"
"S. Rai. das Mangabeiras","59","2","1","10.14"
"S. Rai. das Mangabeiras","4","2","1","9.04"
"S. Rai. das Mangabeiras","12","2","1","8.63"
"S. Rai. das Mangabeiras","20","2","1","7.76"
"S. Rai. das Mangabeiras","28","2","1","9.72"
"S. Rai. das Mangabeiras","36","2","1","9.9"
"S. Rai. das Mangabeiras","44","2","1","8.58"
"S. Rai. das Mangabeiras","52","2","1","7.52"
"S. Rai. das Mangabeiras","60","2","1","7.63"
"S. Rai. das Mangabeiras","5","2","1","7.38"
"S. Rai. das Mangabeiras","13","2","1","8.8"
"S. Rai. das Mangabeiras","21","2","1","7.33"
"S. Rai. das Mangabeiras","29","2","1","8.27"
"S. Rai. das Mangabeiras","37","2","1","8.75"
"S. Rai. das Mangabeiras","45","2","1","8.5"
"S. Rai. das Mangabeiras","53","2","1","7.77"
"S. Rai. das Mangabeiras","61","2","1","8.3"
"S. Rai. das Mangabeiras","6","2","1","8.95"
"S. Rai. das Mangabeiras","14","2","1","6.04"
"S. Rai. das Mangabeiras","22","2","1","10.47"
"S. Rai. das Mangabeiras","30","2","1","8.18"
"S. Rai. das Mangabeiras","38","2","1","8.98"
"S. Rai. das Mangabeiras","46","2","1","7.24"
"S. Rai. das Mangabeiras","54","2","1","9.62"
"S. Rai. das Mangabeiras","62","2","1","9.09"
"S. Rai. das Mangabeiras","7","2","1","7.45"
"S. Rai. das Mangabeiras","15","2","1","6.64"
"S. Rai. das Mangabeiras","23","2","1","8.71"
"S. Rai. das Mangabeiras","31","2","1","8.25"
"S. Rai. das Mangabeiras","39","2","1","9.73"
"S. Rai. das Mangabeiras","47","2","1","8.41"
"S. Rai. das Mangabeiras","55","2","1","7.53"
"S. Rai. das Mangabeiras","63","2","1","7.77"
"S. Rai. das Mangabeiras","8","2","1","7.17"
"S. Rai. das Mangabeiras","16","2","1","8.03"
"S. Rai. das Mangabeiras","24","2","1","9.57"
"S. Rai. das Mangabeiras","32","2","1","7.23"
"S. Rai. das Mangabeiras","40","2","1","9.00"
"S. Rai. das Mangabeiras","48","2","1","7.95"
"S. Rai. das Mangabeiras","56","2","1","7.91"
"S. Rai. das Mangabeiras","64","2","1","10.00"
"Vilhena","1","1","1","4.53"
"Vilhena","2","1","1","4.31"
"Vilhena","3","1","1","3.79"
"Vilhena","4","1","1","4.78"
"Vilhena","5","1","1","4.14"
"Vilhena","6","1","1","4.95"
"Vilhena","7","1","1","2.83"
"Vilhena","8","1","1","3.79"
"Vilhena","9","1","1","4.28"
"Vilhena","10","1","1","4.18"
"Vilhena","11","1","1","3.98"
"Vilhena","12","1","1","4.95"
"Vilhena","13","1","1","4.53"
"Vilhena","14","1","1","4.19"
"Vilhena","15","1","1","4.8"
"Vilhena","16","1","1","5.49"
"Vilhena","17","1","1","4.76"
"Vilhena","18","1","1","3.56"
"Vilhena","19","1","1","3.59"
"Vilhena","20","1","1","2.53"
"Vilhena","21","1","1","3.76"
"Vilhena","22","1","1","5.68"
"Vilhena","23","1","1","4.16"
"Vilhena","24","1","1","3.76"
"Vilhena","25","1","1","4.21"
"Vilhena","26","1","1","5.16"
"Vilhena","27","1","1","4.02"
"Vilhena","28","1","1","4.43"
"Vilhena","29","1","1","5.00"
"Vilhena","30","1","1","4.23"
"Vilhena","31","1","1","3.41"
"Vilhena","32","1","1","3.06"
"Vilhena","33","1","1","4.63"
"Vilhena","34","1","1","3.28"
"Vilhena","35","1","1","3.26"
"Vilhena","36","1","1","3.8"
"Vilhena","37","1","1","4.23"
"Vilhena","38","1","1","4.74"
"Vilhena","39","1","1","3.75"
"Vilhena","40","1","1","3.86"
"Vilhena","41","1","1","3.39"
"Vilhena","42","1","1","4.12"
"Vilhena","43","1","1","3.76"
"Vilhena","44","1","1","4.46"
"Vilhena","45","1","1","5.29"
"Vilhena","46","1","1","4.24"
"Vilhena","47","1","1","4.91"
"Vilhena","48","1","1","3.7"
"Vilhena","49","1","1","4.5"
"Vilhena","50","1","1","4.24"
"Vilhena","51","1","1","4.68"
"Vilhena","52","1","1","4.97"
"Vilhena","53","1","1","2.51"
"Vilhena","54","1","1","3.76"
"Vilhena","55","1","1","3.86"
"Vilhena","56","1","1","2.54"
"Vilhena","57","1","1","3.27"
"Vilhena","58","1","1","4.03"
"Vilhena","59","1","1","3.58"
"Vilhena","60","1","1","3.7"
"Vilhena","61","1","1","4.1"
"Vilhena","62","1","1","4.08"
"Vilhena","63","1","1","3.4"
"Vilhena","64","1","1","3.2"
"Vilhena","1","2","1","3.09"
"Vilhena","9","2","1","3.15"
"Vilhena","17","2","1","4.00"
"Vilhena","25","2","1","2.35"
"Vilhena","33","2","1","4.37"
"Vilhena","41","2","1","4.27"
"Vilhena","49","2","1","4.46"
"Vilhena","57","2","1","2.88"
"Vilhena","2","2","1","4.13"
"Vilhena","10","2","1","3.44"
"Vilhena","18","2","1","2.6"
"Vilhena","26","2","1","4.62"
"Vilhena","34","2","1","4.55"
"Vilhena","42","2","1","4.08"
"Vilhena","50","2","1","3.97"
"Vilhena","58","2","1","4.56"
"Vilhena","3","2","1","3.93"
"Vilhena","11","2","1","4.51"
"Vilhena","19","2","1","3.98"
"Vilhena","27","2","1","4.76"
"Vilhena","35","2","1","3.37"
"Vilhena","43","2","1","4.05"
"Vilhena","51","2","1","4.08"
"Vilhena","59","2","1","3.21"
"Vilhena","4","2","1","4.04"
"Vilhena","12","2","1","4.17"
"Vilhena","20","2","1","4.04"
"Vilhena","28","2","1","4.39"
"Vilhena","36","2","1","4.64"
"Vilhena","44","2","1","4.07"
"Vilhena","52","2","1","4.9"
"Vilhena","60","2","1","3.96"
"Vilhena","5","2","1","4.72"
"Vilhena","13","2","1","3.67"
"Vilhena","21","2","1","4.4"
"Vilhena","29","2","1","4.17"
"Vilhena","37","2","1","4.16"
"Vilhena","45","2","1","4.49"
"Vilhena","53","2","1","3.08"
"Vilhena","61","2","1","4.19"
"Vilhena","6","2","1","4.16"
"Vilhena","14","2","1","2.62"
"Vilhena","22","2","1","4.96"
"Vilhena","30","2","1","4.33"
"Vilhena","38","2","1","4.74"
"Vilhena","46","2","1","3.93"
"Vilhena","54","2","1","4.6"
"Vilhena","62","2","1","4.04"
"Vilhena","7","2","1","3.57"
"Vilhena","15","2","1","3.81"
"Vilhena","23","2","1","3.83"
"Vilhena","31","2","1","3.59"
"Vilhena","39","2","1","4.6"
"Vilhena","47","2","1","4.32"
"Vilhena","55","2","1","2.25"
"Vilhena","63","2","1","2.45"
"Vilhena","8","2","1","2.19"
"Vilhena","16","2","1","5.44"
"Vilhena","24","2","1","4.31"
"Vilhena","32","2","1","2.87"
"Vilhena","40","2","1","3.58"
"Vilhena","48","2","1","4.33"
"Vilhena","56","2","1","3.09"
"Vilhena","64","2","1","3.93"
"Sinop 01","1","1","2","4.41"
"Sinop 01","2","1","2","4.28"
"Sinop 01","3","1","2","4.69"
"Sinop 01","4","1","2","4.00"
"Sinop 01","5","1","2","4.3"
"Sinop 01","6","1","2","4.22"
"Sinop 01","7","1","2","2.98"
"Sinop 01","8","1","2","2.94"
"Sinop 01","9","1","2","4.34"
"Sinop 01","10","1","2","4.79"
"Sinop 01","11","1","2","4.71"
"Sinop 01","12","1","2","2.86"
"Sinop 01","13","1","2","4.19"
"Sinop 01","14","1","2","2.72"
"Sinop 01","15","1","2","3.55"
"Sinop 01","16","1","2","6.97"
"Sinop 01","17","1","2","6.45"
"Sinop 01","18","1","2","2.67"
"Sinop 01","19","1","2","5.19"
"Sinop 01","20","1","2","2.49"
"Sinop 01","21","1","2","4.01"
"Sinop 01","22","1","2","6.72"
"Sinop 01","23","1","2","3.66"
"Sinop 01","24","1","2","4.73"
"Sinop 01","25","1","2","3.79"
"Sinop 01","26","1","2","4.07"
"Sinop 01","27","1","2","4.16"
"Sinop 01","28","1","2","3.75"
"Sinop 01","29","1","2","3.77"
"Sinop 01","30","1","2","4.16"
"Sinop 01","31","1","2","3.89"
"Sinop 01","32","1","2","4.1"
"Sinop 01","33","1","2","3.35"
"Sinop 01","34","1","2","4.51"
"Sinop 01","35","1","2","7.6"
"Sinop 01","36","1","2","4.49"
"Sinop 01","37","1","2","4.32"
"Sinop 01","38","1","2","4.14"
"Sinop 01","39","1","2","4.06"
"Sinop 01","40","1","2","4.51"
"Sinop 01","41","1","2","4.68"
"Sinop 01","42","1","2","4.56"
"Sinop 01","43","1","2","4.26"
"Sinop 01","44","1","2","4.52"
"Sinop 01","45","1","2","5.24"
"Sinop 01","46","1","2","5.09"
"Sinop 01","47","1","2","4.39"
"Sinop 01","48","1","2","4.74"
"Sinop 01","49","1","2","4.31"
"Sinop 01","50","1","2","4.33"
"Sinop 01","51","1","2","4.91"
"Sinop 01","52","1","2","5.96"
"Sinop 01","53","1","2","1.48"
"Sinop 01","54","1","2","4.43"
"Sinop 01","55","1","2","4.27"
"Sinop 01","56","1","2","4.66"
"Sinop 01","57","1","2","2.68"
"Sinop 01","58","1","2","3.89"
"Sinop 01","59","1","2","2.4"
"Sinop 01","60","1","2","4.17"
"Sinop 01","61","1","2","3.14"
"Sinop 01","62","1","2","4.86"
"Sinop 01","63","1","2","3.9"
"Sinop 01","64","1","2","5.00"
"Sinop 01","1","2","2","4.74"
"Sinop 01","9","2","2","4.32"
"Sinop 01","17","2","2","5.04"
"Sinop 01","25","2","2","3.79"
"Sinop 01","33","2","2","4.56"
"Sinop 01","41","2","2","4.1"
"Sinop 01","49","2","2","3.44"
"Sinop 01","57","2","2","3.5"
"Sinop 01","2","2","2","4.95"
"Sinop 01","10","2","2","4.91"
"Sinop 01","18","2","2","3.46"
"Sinop 01","26","2","2","4.2"
"Sinop 01","34","2","2","4.87"
"Sinop 01","42","2","2","5.06"
"Sinop 01","50","2","2","4.72"
"Sinop 01","58","2","2","5.3"
"Sinop 01","3","2","2","5.11"
"Sinop 01","11","2","2","4.67"
"Sinop 01","19","2","2","3.47"
"Sinop 01","27","2","2","5.53"
"Sinop 01","35","2","2","6.39"
"Sinop 01","43","2","2","4.9"
"Sinop 01","51","2","2","5.4"
"Sinop 01","59","2","2","1.46"
"Sinop 01","4","2","2","3.88"
"Sinop 01","12","2","2","2.6"
"Sinop 01","20","2","2","1.4"
"Sinop 01","28","2","2","3.85"
"Sinop 01","36","2","2","4.1"
"Sinop 01","44","2","2","4.11"
"Sinop 01","52","2","2","5.2"
"Sinop 01","60","2","2","4.16"
"Sinop 01","5","2","2","5.04"
"Sinop 01","13","2","2","4.04"
"Sinop 01","21","2","2","4.06"
"Sinop 01","29","2","2","3.53"
"Sinop 01","37","2","2","5.15"
"Sinop 01","45","2","2","4.16"
"Sinop 01","53","2","2","1.92"
"Sinop 01","61","2","2","3.92"
"Sinop 01","6","2","2","5.59"
"Sinop 01","14","2","2","2.37"
"Sinop 01","22","2","2","8.19"
"Sinop 01","30","2","2","4.99"
"Sinop 01","38","2","2","3.88"
"Sinop 01","46","2","2","4.97"
"Sinop 01","54","2","2","4.37"
"Sinop 01","62","2","2","5.28"
"Sinop 01","7","2","2","3.84"
"Sinop 01","15","2","2","4.13"
"Sinop 01","23","2","2","3.34"
"Sinop 01","31","2","2","4.06"
"Sinop 01","39","2","2","5.13"
"Sinop 01","47","2","2","5.72"
"Sinop 01","55","2","2","4.72"
"Sinop 01","63","2","2","3.43"
"Sinop 01","8","2","2","2.37"
"Sinop 01","16","2","2","4.55"
"Sinop 01","24","2","2","4.15"
"Sinop 01","32","2","2","3.69"
"Sinop 01","40","2","2","4.36"
"Sinop 01","48","2","2","4.31"
"Sinop 01","56","2","2","3.3"
"Sinop 01","64","2","2","5.1"
"C. Mourão 01","1","1","2","4.13"
"C. Mourão 01","2","1","2","3.25"
"C. Mourão 01","3","1","2","4.54"
"C. Mourão 01","4","1","2","3.63"
"C. Mourão 01","5","1","2","3.48"
"C. Mourão 01","6","1","2","3.79"
"C. Mourão 01","7","1","2","3.15"
"C. Mourão 01","8","1","2","3.76"
"C. Mourão 01","9","1","2","3.5"
"C. Mourão 01","10","1","2","3.03"
"C. Mourão 01","11","1","2","4.06"
"C. Mourão 01","12","1","2","3.84"
"C. Mourão 01","13","1","2","5.2"
"C. Mourão 01","14","1","2","2.75"
"C. Mourão 01","15","1","2","3.64"
"C. Mourão 01","16","1","2","5.22"
"C. Mourão 01","17","1","2","3.64"
"C. Mourão 01","18","1","2","2.84"
"C. Mourão 01","19","1","2","3.4"
"C. Mourão 01","20","1","2","2.84"
"C. Mourão 01","21","1","2","3.1"
"C. Mourão 01","22","1","2","3.84"
"C. Mourão 01","23","1","2","3.58"
"C. Mourão 01","24","1","2","4.38"
"C. Mourão 01","25","1","2","3.57"
"C. Mourão 01","26","1","2","3.34"
"C. Mourão 01","27","1","2","3.37"
"C. Mourão 01","28","1","2","4.56"
"C. Mourão 01","29","1","2","4.43"
"C. Mourão 01","30","1","2","4.01"
"C. Mourão 01","31","1","2","3.46"
"C. Mourão 01","32","1","2","3.89"
"C. Mourão 01","33","1","2","3.46"
"C. Mourão 01","34","1","2","4.13"
"C. Mourão 01","35","1","2","3.98"
"C. Mourão 01","36","1","2","4.08"
"C. Mourão 01","37","1","2","3.27"
"C. Mourão 01","38","1","2","3.73"
"C. Mourão 01","39","1","2","4.31"
"C. Mourão 01","40","1","2","4.00"
"C. Mourão 01","41","1","2","3.00"
"C. Mourão 01","42","1","2","3.06"
"C. Mourão 01","43","1","2","3.68"
